timestamp,lap time,stroke count,stroke type
2020-08-01T01:03:25Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T01:08:03Z,00:00:31.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T01:08:42Z,00:00:21.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T11:20:40Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T11:36:14Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T11:38:43Z,00:00:31.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T13:24:20Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T13:30:50Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:09:49Z,00:00:40.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:13:03Z,00:00:28.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:13:47Z,00:00:21.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:14:19Z,00:00:20.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:14:46Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:15:03Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:24:42Z,00:00:56.000,28,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:26:17Z,00:00:33.000,19,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:26:55Z,00:00:31.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:27:31Z,00:00:55.000,28,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:28:52Z,00:00:16.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:41:03Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:41:44Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:42:50Z,00:00:25.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:43:35Z,00:00:37.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:47:06Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:47:28Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:48:51Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:49:08Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:49:37Z,00:00:25.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T14:50:12Z,00:00:39.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:00:59Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:01:45Z,00:00:34.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:02:24Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:03:34Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:06:50Z,00:00:29.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:08:57Z,00:00:21.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:10:42Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:13:32Z,00:00:30.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:15:04Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:17:28Z,00:00:14.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:35:26Z,00:00:29.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:37:04Z,00:00:33.000,21,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:37:43Z,00:00:14.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:38:15Z,00:00:32.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:41:03Z,00:00:18.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:41:34Z,00:00:15.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:42:12Z,00:00:09.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:43:59Z,00:00:36.000,20,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:45:25Z,00:00:12.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:46:12Z,00:00:24.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:47:10Z,00:00:23.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:48:28Z,00:00:38.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:50:44Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:53:09Z,00:00:33.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:53:43Z,00:00:45.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T15:54:28Z,00:00:56.000,28,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T19:17:12Z,00:00:29.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T19:43:05Z,00:00:41.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T19:45:52Z,00:00:54.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T19:52:42Z,00:00:51.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T19:57:07Z,00:00:55.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T19:59:12Z,00:00:36.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T20:01:39Z,00:00:29.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-08-01T20:03:08Z,00:00:51.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
