timestamp,heart rate zone,total minutes
2022-12-01T00:28:00Z,fat burn,1
2022-12-01T01:32:00Z,fat burn,1
2022-12-01T01:33:00Z,fat burn,1
2022-12-01T22:01:00Z,fat burn,1
2022-12-01T22:02:00Z,fat burn,1
2022-12-01T22:03:00Z,fat burn,1
2022-12-01T22:06:00Z,fat burn,1
2022-12-01T22:07:00Z,fat burn,1
2022-12-01T22:10:00Z,fat burn,1
2022-12-01T22:15:00Z,fat burn,1
2022-12-01T22:16:00Z,fat burn,1
2022-12-01T22:26:00Z,fat burn,1
2022-12-01T22:33:00Z,fat burn,1
2022-12-01T22:35:00Z,fat burn,1
2022-12-01T23:18:00Z,fat burn,1
2022-12-01T23:19:00Z,fat burn,1
2022-12-01T23:20:00Z,fat burn,1
2022-12-02T02:13:00Z,fat burn,1
2022-12-02T21:17:00Z,fat burn,1
2022-12-02T21:18:00Z,fat burn,1
2022-12-02T21:19:00Z,cardio,2
2022-12-02T21:20:00Z,fat burn,1
2022-12-02T21:22:00Z,fat burn,1
2022-12-02T21:33:00Z,fat burn,1
2022-12-02T21:34:00Z,fat burn,1
2022-12-02T21:36:00Z,fat burn,1
2022-12-02T21:37:00Z,fat burn,1
2022-12-02T21:38:00Z,fat burn,1
2022-12-02T21:39:00Z,fat burn,1
2022-12-02T21:40:00Z,fat burn,1
2022-12-02T21:41:00Z,fat burn,1
2022-12-02T21:43:00Z,fat burn,1
2022-12-02T21:46:00Z,cardio,2
2022-12-02T21:47:00Z,cardio,2
2022-12-02T21:48:00Z,cardio,2
2022-12-02T21:49:00Z,cardio,2
2022-12-02T21:50:00Z,fat burn,1
2022-12-02T21:51:00Z,fat burn,1
2022-12-02T21:52:00Z,fat burn,1
2022-12-02T21:53:00Z,cardio,2
2022-12-02T21:54:00Z,fat burn,1
2022-12-02T21:55:00Z,fat burn,1
2022-12-02T21:56:00Z,fat burn,1
2022-12-02T21:57:00Z,fat burn,1
2022-12-02T22:36:00Z,fat burn,1
2022-12-02T22:37:00Z,fat burn,1
2022-12-02T22:40:00Z,fat burn,1
2022-12-02T22:41:00Z,fat burn,1
2022-12-02T22:42:00Z,fat burn,1
2022-12-02T22:43:00Z,fat burn,1
2022-12-02T22:44:00Z,fat burn,1
2022-12-02T22:45:00Z,fat burn,1
2022-12-02T22:50:00Z,fat burn,1
2022-12-02T22:51:00Z,fat burn,1
2022-12-03T18:02:00Z,cardio,2
2022-12-03T18:03:00Z,cardio,2
2022-12-03T18:04:00Z,fat burn,1
2022-12-03T18:05:00Z,fat burn,1
2022-12-03T18:13:00Z,fat burn,1
2022-12-03T18:14:00Z,fat burn,1
2022-12-03T18:15:00Z,fat burn,1
2022-12-03T18:16:00Z,fat burn,1
2022-12-03T18:17:00Z,fat burn,1
2022-12-03T20:09:00Z,fat burn,1
2022-12-03T20:14:00Z,fat burn,1
2022-12-03T20:15:00Z,fat burn,1
2022-12-03T20:16:00Z,fat burn,1
2022-12-03T20:17:00Z,fat burn,1
2022-12-03T20:18:00Z,fat burn,1
2022-12-03T20:19:00Z,fat burn,1
2022-12-04T02:44:00Z,fat burn,1
2022-12-04T03:28:00Z,fat burn,1
2022-12-04T03:29:00Z,fat burn,1
2022-12-04T21:49:00Z,fat burn,1
2022-12-04T21:50:00Z,fat burn,1
2022-12-04T21:51:00Z,fat burn,1
2022-12-04T21:52:00Z,cardio,2
2022-12-04T21:53:00Z,fat burn,1
2022-12-04T21:54:00Z,fat burn,1
2022-12-04T21:55:00Z,fat burn,1
2022-12-04T21:57:00Z,fat burn,1
2022-12-04T22:00:00Z,fat burn,1
2022-12-04T22:01:00Z,fat burn,1
2022-12-04T22:02:00Z,fat burn,1
2022-12-04T22:03:00Z,fat burn,1
2022-12-04T22:04:00Z,fat burn,1
2022-12-04T22:07:00Z,fat burn,1
2022-12-04T22:08:00Z,fat burn,1
