timestamp,distance
2021-02-01T08:52:00Z,5.00
2021-02-01T08:53:00Z,8.80
2021-02-01T08:57:00Z,36.00
2021-02-01T09:01:00Z,8.20
2021-02-01T09:02:00Z,8.20
2021-02-01T09:04:00Z,17.70
2021-02-01T09:05:00Z,19.60
2021-02-01T09:10:00Z,4.40
2021-02-01T09:16:00Z,13.90
2021-02-01T09:23:00Z,17.00
2021-02-01T09:24:00Z,28.40
2021-02-01T09:25:00Z,27.10
2021-02-01T09:26:00Z,32.80
2021-02-01T09:27:00Z,27.20
2021-02-01T09:29:00Z,3.10
2021-02-01T09:30:00Z,23.30
2021-02-01T09:35:00Z,40.40
2021-02-01T09:36:00Z,49.30
2021-02-01T09:37:00Z,42.30
2021-02-01T09:38:00Z,9.40
2021-02-01T09:39:00Z,13.90
2021-02-01T09:40:00Z,9.40
2021-02-01T09:45:00Z,3.70
2021-02-01T09:56:00Z,3.10
2021-02-01T10:13:00Z,5.60
2021-02-01T10:21:00Z,17.00
2021-02-01T10:33:00Z,18.30
2021-02-01T10:34:00Z,1.20
2021-02-01T10:37:00Z,3.70
2021-02-01T10:42:00Z,7.50
2021-02-01T10:43:00Z,24.00
2021-02-01T10:44:00Z,27.10
2021-02-01T10:45:00Z,15.80
2021-02-01T10:46:00Z,18.30
2021-02-01T10:47:00Z,6.30
2021-02-01T10:48:00Z,18.90
2021-02-01T10:49:00Z,62.60
2021-02-01T10:50:00Z,79.10
2021-02-01T10:51:00Z,74.00
2021-02-01T10:52:00Z,63.90
2021-02-01T10:53:00Z,70.20
2021-02-01T10:54:00Z,70.80
2021-02-01T10:55:00Z,70.20
2021-02-01T10:56:00Z,65.10
2021-02-01T10:57:00Z,67.00
2021-02-01T10:58:00Z,70.80
2021-02-01T10:59:00Z,72.70
2021-02-01T11:00:00Z,66.40
2021-02-01T11:01:00Z,68.90
2021-02-01T11:02:00Z,62.00
2021-02-01T11:03:00Z,55.60
2021-02-01T11:04:00Z,72.70
2021-02-01T11:05:00Z,72.70
2021-02-01T11:06:00Z,67.70
2021-02-01T11:07:00Z,84.70
2021-02-01T11:08:00Z,79.70
2021-02-01T11:09:00Z,67.70
2021-02-01T11:10:00Z,67.70
2021-02-01T11:11:00Z,72.70
2021-02-01T11:12:00Z,73.30
2021-02-01T11:13:00Z,79.70
2021-02-01T11:14:00Z,74.00
2021-02-01T11:15:00Z,72.10
2021-02-01T11:16:00Z,77.80
2021-02-01T11:17:00Z,56.30
2021-02-01T11:18:00Z,10.10
2021-02-01T11:24:00Z,3.70
2021-02-01T11:25:00Z,8.80
2021-02-01T11:35:00Z,2.50
2021-02-01T11:37:00Z,8.20
2021-02-01T11:43:00Z,5.60
2021-02-01T11:45:00Z,10.70
2021-02-01T11:46:00Z,18.90
2021-02-01T11:47:00Z,17.70
2021-02-01T11:48:00Z,10.70
2021-02-01T11:49:00Z,19.50
2021-02-01T11:50:00Z,24.00
2021-02-01T11:51:00Z,8.80
2021-02-01T11:59:00Z,15.10
2021-02-01T12:00:00Z,22.70
2021-02-01T12:01:00Z,38.50
2021-02-01T12:02:00Z,41.10
2021-02-01T12:03:00Z,39.80
