timestamp,steps
2024-04-01T00:00:00Z,27
2024-04-01T00:01:00Z,20
2024-04-01T00:02:00Z,8
2024-04-01T00:03:00Z,65
2024-04-01T00:04:00Z,52
2024-04-01T00:05:00Z,47
2024-04-01T00:06:00Z,44
2024-04-01T00:07:00Z,52
2024-04-01T00:08:00Z,49
2024-04-01T00:09:00Z,18
2024-04-01T00:15:00Z,16
2024-04-01T00:16:00Z,46
2024-04-01T00:17:00Z,33
2024-04-01T00:18:00Z,60
2024-04-01T00:19:00Z,23
2024-04-01T00:24:00Z,28
2024-04-01T00:25:00Z,36
2024-04-01T00:26:00Z,21
2024-04-01T00:27:00Z,4
2024-04-01T00:28:00Z,9
2024-04-01T00:29:00Z,53
2024-04-01T00:30:00Z,25
2024-04-01T00:31:00Z,49
2024-04-01T00:32:00Z,23
2024-04-01T00:34:00Z,58
2024-04-01T00:35:00Z,44
2024-04-01T00:36:00Z,30
2024-04-01T00:37:00Z,31
2024-04-01T00:39:00Z,43
2024-04-01T00:40:00Z,25
2024-04-01T00:54:00Z,11
2024-04-01T01:22:00Z,14
2024-04-01T01:23:00Z,26
2024-04-01T01:24:00Z,9
2024-04-01T01:25:00Z,16
2024-04-01T01:34:00Z,8
2024-04-01T01:35:00Z,8
2024-04-01T01:36:00Z,7
2024-04-01T02:33:00Z,6
2024-04-01T03:05:00Z,4
2024-04-01T03:09:00Z,28
2024-04-01T03:10:00Z,15
2024-04-01T03:27:00Z,4
2024-04-01T03:40:00Z,6
2024-04-01T03:45:00Z,4
2024-04-01T03:48:00Z,8
2024-04-01T04:03:00Z,4
2024-04-01T04:24:00Z,4
2024-04-01T04:41:00Z,9
2024-04-01T04:48:00Z,11
2024-04-01T11:09:00Z,4
2024-04-01T11:37:00Z,9
2024-04-01T11:54:00Z,10
2024-04-01T11:55:00Z,11
2024-04-01T11:56:00Z,6
2024-04-01T12:34:00Z,8
2024-04-01T12:35:00Z,39
2024-04-01T12:36:00Z,38
2024-04-01T12:37:00Z,41
2024-04-01T12:38:00Z,47
2024-04-01T12:39:00Z,52
2024-04-01T12:40:00Z,71
2024-04-01T12:41:00Z,67
2024-04-01T12:43:00Z,68
2024-04-01T12:44:00Z,116
2024-04-01T12:45:00Z,101
2024-04-01T12:46:00Z,113
2024-04-01T12:47:00Z,54
2024-04-01T12:48:00Z,25
2024-04-01T12:49:00Z,4
2024-04-01T12:50:00Z,24
2024-04-01T12:57:00Z,19
2024-04-01T12:59:00Z,24
2024-04-01T13:00:00Z,37
2024-04-01T13:01:00Z,18
2024-04-01T13:02:00Z,30
2024-04-01T13:03:00Z,32
2024-04-01T13:04:00Z,18
2024-04-01T13:12:00Z,18
2024-04-01T13:45:00Z,9
2024-04-01T13:46:00Z,56
