timestamp,lap time,stroke count,stroke type
2020-06-02T23:13:34Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T00:52:42Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T01:01:43Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T01:18:28Z,00:00:11.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:31:24Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:46:47Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:47:24Z,00:00:25.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:52:18Z,00:00:57.000,23,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:54:41Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:55:08Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:55:35Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:56:26Z,00:00:45.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:58:33Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:59:17Z,00:00:29.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T13:59:51Z,00:00:19.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T14:01:01Z,00:00:26.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T14:52:41Z,00:00:31.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T14:53:39Z,00:00:21.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T14:56:15Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T14:56:44Z,00:00:38.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T15:01:01Z,00:00:14.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T15:01:23Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T15:01:50Z,00:00:24.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T15:07:17Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T15:51:28Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T15:55:37Z,00:00:35.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T15:57:59Z,00:00:27.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T16:01:03Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T16:33:58Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T16:36:03Z,00:00:25.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T17:28:46Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T21:36:59Z,00:00:38.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T21:45:00Z,00:00:30.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T21:46:17Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T21:47:05Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-03T21:52:22Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
