timestamp,beats per minute
2019-08-09T00:00:01Z,86.0
2019-08-09T00:00:06Z,87.0
2019-08-09T00:00:11Z,86.0
2019-08-09T00:00:16Z,87.0
2019-08-09T00:00:21Z,88.0
2019-08-09T00:00:36Z,89.0
2019-08-09T00:00:46Z,88.0
2019-08-09T00:00:56Z,87.0
2019-08-09T00:01:11Z,87.0
2019-08-09T00:01:26Z,87.0
2019-08-09T00:01:31Z,88.0
2019-08-09T00:01:46Z,88.0
2019-08-09T00:01:56Z,87.0
2019-08-09T00:02:11Z,87.0
2019-08-09T00:02:16Z,86.0
2019-08-09T00:02:22Z,87.0
2019-08-09T00:02:27Z,88.0
2019-08-09T00:02:37Z,87.0
2019-08-09T00:02:42Z,85.0
2019-08-09T00:02:47Z,84.0
2019-08-09T00:02:52Z,86.0
2019-08-09T00:03:07Z,88.0
2019-08-09T00:03:12Z,90.0
2019-08-09T00:03:17Z,93.0
2019-08-09T00:03:22Z,94.0
2019-08-09T00:03:32Z,92.0
2019-08-09T00:03:37Z,82.0
2019-08-09T00:03:42Z,81.0
2019-08-09T00:03:47Z,82.0
2019-08-09T00:03:57Z,83.0
2019-08-09T00:04:02Z,84.0
2019-08-09T00:04:07Z,85.0
2019-08-09T00:04:12Z,86.0
2019-08-09T00:04:27Z,87.0
2019-08-09T00:04:32Z,86.0
2019-08-09T00:04:47Z,85.0
2019-08-09T00:04:52Z,84.0
2019-08-09T00:05:02Z,86.0
2019-08-09T00:05:07Z,87.0
2019-08-09T00:05:12Z,86.0
2019-08-09T00:05:22Z,87.0
2019-08-09T00:05:27Z,87.0
2019-08-09T00:05:42Z,87.0
2019-08-09T00:05:57Z,87.0
2019-08-09T00:06:12Z,88.0
2019-08-09T00:06:27Z,88.0
2019-08-09T00:06:37Z,90.0
2019-08-09T00:06:42Z,91.0
2019-08-09T00:06:47Z,92.0
2019-08-09T00:06:52Z,93.0
2019-08-09T00:06:57Z,92.0
2019-08-09T00:07:02Z,90.0
2019-08-09T00:07:07Z,89.0
2019-08-09T00:07:12Z,88.0
2019-08-09T00:07:17Z,91.0
2019-08-09T00:07:22Z,94.0
2019-08-09T00:07:27Z,97.0
2019-08-09T00:07:37Z,101.0
2019-08-09T00:07:42Z,104.0
2019-08-09T00:07:47Z,105.0
2019-08-09T00:07:52Z,109.0
2019-08-09T00:07:57Z,111.0
2019-08-09T00:08:02Z,111.0
2019-08-09T00:08:07Z,110.0
2019-08-09T00:08:12Z,109.0
2019-08-09T00:08:17Z,111.0
2019-08-09T00:08:22Z,114.0
2019-08-09T00:08:27Z,114.0
2019-08-09T00:08:32Z,114.0
2019-08-09T00:08:37Z,112.0
2019-08-09T00:08:42Z,110.0
2019-08-09T00:08:47Z,108.0
2019-08-09T00:08:52Z,109.0
2019-08-09T00:09:02Z,112.0
2019-08-09T00:09:07Z,111.0
2019-08-09T00:09:12Z,109.0
2019-08-09T00:09:17Z,104.0
2019-08-09T00:09:22Z,92.0
2019-08-09T00:09:27Z,95.0
2019-08-09T00:09:32Z,97.0
2019-08-09T00:09:37Z,95.0
2019-08-09T00:09:52Z,96.0
2019-08-09T00:09:57Z,100.0
2019-08-09T00:10:02Z,103.0
2019-08-09T00:10:07Z,102.0
2019-08-09T00:10:17Z,100.0
2019-08-09T00:10:22Z,98.0
2019-08-09T00:10:27Z,99.0
2019-08-09T00:10:32Z,100.0
2019-08-09T00:10:42Z,103.0
2019-08-09T00:10:47Z,102.0
2019-08-09T00:10:57Z,105.0
2019-08-09T00:11:02Z,110.0
2019-08-09T00:11:07Z,111.0
2019-08-09T00:11:12Z,111.0
2019-08-09T00:11:17Z,112.0
2019-08-09T00:11:22Z,113.0
2019-08-09T00:11:27Z,115.0
2019-08-09T00:11:32Z,117.0
2019-08-09T00:11:47Z,119.0
2019-08-09T00:11:57Z,120.0
2019-08-09T00:12:02Z,118.0
2019-08-09T00:12:17Z,116.0
2019-08-09T00:12:22Z,119.0
2019-08-09T00:12:27Z,122.0
2019-08-09T00:12:32Z,123.0
2019-08-09T00:12:37Z,124.0
2019-08-09T00:12:52Z,122.0
2019-08-09T00:12:57Z,117.0
2019-08-09T00:13:02Z,119.0
2019-08-09T00:13:07Z,124.0
2019-08-09T00:13:12Z,126.0
2019-08-09T00:13:17Z,125.0
2019-08-09T00:13:22Z,124.0
2019-08-09T00:13:27Z,123.0
2019-08-09T00:13:32Z,119.0
2019-08-09T00:13:37Z,115.0
2019-08-09T00:13:42Z,105.0
2019-08-09T00:13:47Z,99.0
2019-08-09T00:13:52Z,94.0
2019-08-09T00:13:57Z,90.0
2019-08-09T00:14:02Z,91.0
2019-08-09T00:14:07Z,90.0
2019-08-09T00:14:17Z,89.0
2019-08-09T00:14:22Z,88.0
2019-08-09T00:14:27Z,90.0
2019-08-09T00:14:32Z,89.0
2019-08-09T00:14:42Z,88.0
2019-08-09T00:14:47Z,89.0
2019-08-09T00:14:52Z,93.0
2019-08-09T00:14:57Z,95.0
2019-08-09T00:15:02Z,96.0
2019-08-09T00:15:07Z,92.0
2019-08-09T00:15:12Z,89.0
2019-08-09T00:15:27Z,90.0
2019-08-09T00:15:32Z,92.0
2019-08-09T00:15:42Z,91.0
2019-08-09T00:15:52Z,90.0
2019-08-09T00:16:07Z,90.0
2019-08-09T00:16:12Z,89.0
2019-08-09T00:16:17Z,88.0
2019-08-09T00:16:22Z,89.0
2019-08-09T00:16:27Z,88.0
2019-08-09T00:16:37Z,89.0
2019-08-09T00:16:47Z,90.0
2019-08-09T00:16:52Z,91.0
