timestamp,heart rate zone,total minutes
2023-08-01T00:43:00Z,fat burn,1
2023-08-01T00:53:00Z,fat burn,1
2023-08-01T00:54:00Z,fat burn,1
2023-08-01T00:59:00Z,fat burn,1
2023-08-01T01:00:00Z,fat burn,1
2023-08-01T01:01:00Z,fat burn,1
2023-08-01T01:04:00Z,fat burn,1
2023-08-01T02:03:00Z,fat burn,1
2023-08-01T02:04:00Z,fat burn,1
2023-08-01T02:05:00Z,fat burn,1
2023-08-01T02:09:00Z,fat burn,1
2023-08-01T02:10:00Z,fat burn,1
2023-08-01T02:11:00Z,fat burn,1
2023-08-01T02:12:00Z,fat burn,1
2023-08-01T02:20:00Z,fat burn,1
2023-08-01T02:24:00Z,fat burn,1
2023-08-01T02:26:00Z,fat burn,1
2023-08-01T02:29:00Z,fat burn,1
2023-08-01T02:30:00Z,fat burn,1
2023-08-01T19:04:00Z,fat burn,1
2023-08-01T19:05:00Z,fat burn,1
2023-08-01T19:06:00Z,fat burn,1
2023-08-01T19:07:00Z,fat burn,1
2023-08-01T19:08:00Z,cardio,2
2023-08-01T19:09:00Z,cardio,2
2023-08-01T19:10:00Z,cardio,2
2023-08-01T19:11:00Z,fat burn,1
2023-08-01T19:16:00Z,fat burn,1
2023-08-01T19:17:00Z,fat burn,1
2023-08-01T19:18:00Z,cardio,2
2023-08-01T19:19:00Z,cardio,2
2023-08-01T19:20:00Z,fat burn,1
2023-08-01T19:21:00Z,fat burn,1
2023-08-01T19:23:00Z,fat burn,1
2023-08-01T19:25:00Z,fat burn,1
2023-08-01T19:26:00Z,fat burn,1
2023-08-01T19:27:00Z,cardio,2
2023-08-01T19:28:00Z,fat burn,1
2023-08-01T19:29:00Z,fat burn,1
2023-08-01T19:30:00Z,fat burn,1
2023-08-01T19:31:00Z,cardio,2
2023-08-01T19:32:00Z,fat burn,1
2023-08-01T19:35:00Z,fat burn,1
2023-08-01T19:36:00Z,fat burn,1
2023-08-01T19:39:00Z,fat burn,1
2023-08-02T01:10:00Z,fat burn,1
2023-08-02T15:55:00Z,fat burn,1
2023-08-02T15:56:00Z,cardio,2
2023-08-02T16:01:00Z,fat burn,1
2023-08-02T16:02:00Z,fat burn,1
2023-08-02T16:03:00Z,fat burn,1
2023-08-02T16:04:00Z,fat burn,1
2023-08-02T16:05:00Z,fat burn,1
2023-08-02T16:09:00Z,fat burn,1
2023-08-02T16:15:00Z,fat burn,1
2023-08-02T16:20:00Z,fat burn,1
2023-08-02T16:21:00Z,fat burn,1
2023-08-02T16:25:00Z,fat burn,1
2023-08-02T16:57:00Z,fat burn,1
2023-08-02T16:58:00Z,fat burn,1
2023-08-02T16:59:00Z,fat burn,1
2023-08-02T17:00:00Z,fat burn,1
2023-08-02T17:01:00Z,fat burn,1
2023-08-02T17:02:00Z,fat burn,1
2023-08-02T17:03:00Z,fat burn,1
2023-08-02T17:04:00Z,fat burn,1
