timestamp,steps
2020-08-01T00:00:00Z,4
2020-08-01T00:01:00Z,7
2020-08-01T00:05:00Z,19
2020-08-01T00:07:00Z,6
2020-08-01T00:16:00Z,19
2020-08-01T00:22:00Z,9
2020-08-01T00:27:00Z,8
2020-08-01T00:44:00Z,7
2020-08-01T00:45:00Z,8
2020-08-01T00:46:00Z,5
2020-08-01T00:59:00Z,5
2020-08-01T01:00:00Z,6
2020-08-01T01:01:00Z,28
2020-08-01T01:02:00Z,1
2020-08-01T01:03:00Z,40
2020-08-01T01:04:00Z,7
2020-08-01T01:08:00Z,7
2020-08-01T01:09:00Z,11
2020-08-01T01:14:00Z,7
2020-08-01T01:22:00Z,7
2020-08-01T01:24:00Z,4
2020-08-01T01:25:00Z,7
2020-08-01T03:43:00Z,7
2020-08-01T06:16:00Z,7
2020-08-01T07:07:00Z,10
2020-08-01T07:08:00Z,14
2020-08-01T10:52:00Z,32
2020-08-01T10:53:00Z,14
2020-08-01T11:18:00Z,13
2020-08-01T11:19:00Z,41
2020-08-01T11:20:00Z,39
2020-08-01T11:21:00Z,44
2020-08-01T11:35:00Z,46
2020-08-01T11:36:00Z,39
2020-08-01T11:37:00Z,68
2020-08-01T11:38:00Z,32
2020-08-01T11:39:00Z,33
2020-08-01T11:50:00Z,19
2020-08-01T11:51:00Z,16
2020-08-01T12:09:00Z,25
2020-08-01T12:16:00Z,9
2020-08-01T12:19:00Z,20
2020-08-01T12:20:00Z,39
2020-08-01T12:45:00Z,7
2020-08-01T12:48:00Z,61
2020-08-01T12:49:00Z,35
2020-08-01T12:50:00Z,17
2020-08-01T12:51:00Z,44
2020-08-01T12:52:00Z,10
2020-08-01T12:53:00Z,15
2020-08-01T12:54:00Z,13
2020-08-01T12:55:00Z,80
2020-08-01T12:56:00Z,92
2020-08-01T12:57:00Z,37
2020-08-01T12:58:00Z,7
2020-08-01T13:03:00Z,82
2020-08-01T13:04:00Z,117
2020-08-01T13:05:00Z,7
2020-08-01T13:07:00Z,41
2020-08-01T13:08:00Z,23
2020-08-01T13:09:00Z,26
2020-08-01T13:10:00Z,33
2020-08-01T13:11:00Z,4
2020-08-01T13:12:00Z,8
2020-08-01T13:17:00Z,15
2020-08-01T13:19:00Z,68
2020-08-01T13:20:00Z,37
2020-08-01T13:21:00Z,29
2020-08-01T13:22:00Z,47
2020-08-01T13:23:00Z,36
2020-08-01T13:24:00Z,31
2020-08-01T13:25:00Z,18
2020-08-01T13:26:00Z,12
2020-08-01T13:27:00Z,14
2020-08-01T13:30:00Z,4
2020-08-01T13:31:00Z,58
2020-08-01T13:32:00Z,6
2020-08-01T13:38:00Z,49
2020-08-01T13:39:00Z,31
2020-08-01T13:57:00Z,13
2020-08-01T13:58:00Z,43
2020-08-01T14:05:00Z,33
