timestamp,heart rate zone,total minutes
2024-08-05T15:11:00Z,fat burn,1
2024-08-05T15:16:00Z,fat burn,1
2024-08-05T15:55:00Z,fat burn,1
2024-08-05T15:56:00Z,fat burn,1
2024-08-05T15:57:00Z,fat burn,1
2024-08-05T15:58:00Z,fat burn,1
2024-08-05T15:59:00Z,fat burn,1
2024-08-05T16:00:00Z,fat burn,1
2024-08-05T16:01:00Z,fat burn,1
2024-08-05T16:02:00Z,fat burn,1
2024-08-05T16:03:00Z,fat burn,1
2024-08-05T17:02:00Z,fat burn,1
2024-08-05T17:39:00Z,fat burn,1
2024-08-05T17:41:00Z,fat burn,1
2024-08-05T17:42:00Z,fat burn,1
2024-08-05T17:43:00Z,fat burn,1
2024-08-05T17:44:00Z,fat burn,1
2024-08-05T17:45:00Z,fat burn,1
2024-08-05T17:46:00Z,fat burn,1
2024-08-05T17:47:00Z,fat burn,1
2024-08-05T17:48:00Z,fat burn,1
2024-08-05T22:10:00Z,fat burn,1
2024-08-06T15:59:00Z,fat burn,1
2024-08-06T16:00:00Z,fat burn,1
2024-08-06T16:01:00Z,cardio,2
2024-08-06T16:02:00Z,cardio,2
2024-08-06T16:03:00Z,cardio,2
2024-08-06T16:04:00Z,cardio,2
2024-08-06T16:05:00Z,cardio,2
2024-08-06T16:06:00Z,cardio,2
2024-08-06T16:07:00Z,cardio,2
2024-08-06T16:08:00Z,cardio,2
2024-08-06T16:09:00Z,cardio,2
2024-08-06T16:10:00Z,cardio,2
2024-08-06T16:11:00Z,cardio,2
2024-08-06T16:12:00Z,cardio,2
2024-08-06T16:13:00Z,cardio,2
2024-08-06T16:14:00Z,cardio,2
2024-08-06T16:15:00Z,cardio,2
2024-08-06T16:16:00Z,cardio,2
2024-08-06T16:17:00Z,cardio,2
2024-08-06T16:18:00Z,cardio,2
2024-08-06T16:19:00Z,cardio,2
2024-08-06T16:20:00Z,cardio,2
2024-08-06T16:21:00Z,cardio,2
2024-08-06T16:22:00Z,cardio,2
2024-08-06T16:23:00Z,cardio,2
2024-08-06T16:24:00Z,fat burn,1
2024-08-06T16:25:00Z,fat burn,1
2024-08-06T16:26:00Z,fat burn,1
2024-08-06T16:27:00Z,fat burn,1
2024-08-06T16:28:00Z,fat burn,1
2024-08-07T15:01:00Z,fat burn,1
2024-08-07T15:02:00Z,fat burn,1
2024-08-07T15:03:00Z,fat burn,1
2024-08-07T15:04:00Z,fat burn,1
2024-08-07T15:05:00Z,fat burn,1
2024-08-07T15:06:00Z,fat burn,1
2024-08-07T15:07:00Z,fat burn,1
2024-08-07T15:08:00Z,fat burn,1
2024-08-07T15:09:00Z,fat burn,1
2024-08-07T15:10:00Z,cardio,2
2024-08-07T15:11:00Z,fat burn,1
2024-08-07T15:12:00Z,fat burn,1
2024-08-07T15:13:00Z,fat burn,1
2024-08-07T22:34:00Z,fat burn,1
2024-08-07T22:35:00Z,fat burn,1
2024-08-07T22:36:00Z,fat burn,1
2024-08-07T22:37:00Z,fat burn,1
2024-08-07T22:38:00Z,fat burn,1
2024-08-07T22:39:00Z,fat burn,1
2024-08-07T22:49:00Z,fat burn,1
2024-08-07T22:51:00Z,fat burn,1
2024-08-07T22:52:00Z,fat burn,1
2024-08-07T22:53:00Z,fat burn,1
2024-08-07T22:54:00Z,fat burn,1
2024-08-07T22:55:00Z,fat burn,1
2024-08-07T22:56:00Z,fat burn,1
2024-08-07T22:57:00Z,fat burn,1
2024-08-07T23:02:00Z,fat burn,1
