timestamp,heart rate zone,total minutes
2023-03-01T01:44:00Z,fat burn,1
2023-03-01T01:45:00Z,fat burn,1
2023-03-01T01:48:00Z,fat burn,1
2023-03-01T01:53:00Z,fat burn,1
2023-03-01T01:55:00Z,fat burn,1
2023-03-01T01:56:00Z,fat burn,1
2023-03-01T16:39:00Z,fat burn,1
2023-03-01T16:40:00Z,fat burn,1
2023-03-01T16:41:00Z,fat burn,1
2023-03-01T16:42:00Z,fat burn,1
2023-03-01T16:43:00Z,fat burn,1
2023-03-01T16:44:00Z,fat burn,1
2023-03-01T16:46:00Z,fat burn,1
2023-03-01T16:48:00Z,fat burn,1
2023-03-01T16:49:00Z,fat burn,1
2023-03-01T16:53:00Z,fat burn,1
2023-03-01T16:54:00Z,fat burn,1
2023-03-01T16:55:00Z,fat burn,1
2023-03-01T16:56:00Z,fat burn,1
2023-03-01T16:58:00Z,fat burn,1
2023-03-01T16:59:00Z,fat burn,1
2023-03-01T17:00:00Z,fat burn,1
2023-03-01T17:02:00Z,fat burn,1
2023-03-01T17:07:00Z,fat burn,1
2023-03-01T17:08:00Z,fat burn,1
2023-03-01T17:09:00Z,fat burn,1
2023-03-01T17:11:00Z,fat burn,1
2023-03-01T17:12:00Z,fat burn,1
2023-03-01T17:13:00Z,fat burn,1
2023-03-01T17:14:00Z,fat burn,1
2023-03-01T17:15:00Z,fat burn,1
2023-03-01T17:58:00Z,fat burn,1
2023-03-01T17:59:00Z,fat burn,1
2023-03-01T18:00:00Z,fat burn,1
2023-03-01T18:01:00Z,fat burn,1
2023-03-02T00:06:00Z,fat burn,1
2023-03-02T02:46:00Z,fat burn,1
2023-03-02T02:47:00Z,fat burn,1
2023-03-02T16:33:00Z,fat burn,1
2023-03-02T16:34:00Z,fat burn,1
2023-03-02T16:35:00Z,fat burn,1
2023-03-02T16:36:00Z,fat burn,1
2023-03-02T16:37:00Z,fat burn,1
2023-03-02T16:40:00Z,fat burn,1
2023-03-02T16:43:00Z,fat burn,1
2023-03-02T16:44:00Z,fat burn,1
2023-03-02T16:47:00Z,fat burn,1
2023-03-02T16:59:00Z,fat burn,1
2023-03-02T17:00:00Z,fat burn,1
2023-03-02T17:04:00Z,fat burn,1
2023-03-02T17:38:00Z,fat burn,1
2023-03-02T17:39:00Z,fat burn,1
2023-03-02T18:10:00Z,fat burn,1
2023-03-02T20:16:00Z,fat burn,1
2023-03-02T20:22:00Z,fat burn,1
2023-03-02T20:23:00Z,fat burn,1
