timestamp,floors
2017-04-19T14:57:00Z,2
2017-04-19T14:59:00Z,1
2017-04-19T15:00:00Z,1
2017-04-19T15:52:00Z,1
2017-04-19T16:44:00Z,1
2017-04-19T20:17:00Z,1
2017-04-19T20:19:00Z,2
2017-04-19T20:20:00Z,4
2017-04-19T20:21:00Z,1
2017-04-19T22:27:00Z,1
2017-04-20T10:25:00Z,1
2017-04-20T12:33:00Z,1
2017-04-20T12:34:00Z,1
2017-04-20T16:36:00Z,1
2017-04-20T19:21:00Z,1
2017-04-20T19:22:00Z,3
2017-04-20T19:23:00Z,2
2017-04-20T19:24:00Z,1
2017-04-20T19:41:00Z,1
2017-04-20T19:43:00Z,1
2017-04-20T19:55:00Z,1
2017-04-20T21:01:00Z,2
2017-04-20T21:02:00Z,1
2017-04-20T21:07:00Z,1
2017-04-20T21:17:00Z,1
2017-04-20T21:19:00Z,1
2017-04-20T21:20:00Z,2
2017-04-20T21:21:00Z,2
2017-04-20T21:26:00Z,2
2017-04-20T21:29:00Z,3
2017-04-20T21:30:00Z,3
2017-04-20T21:31:00Z,2
2017-04-20T22:47:00Z,1
2017-04-20T22:48:00Z,4
2017-04-20T22:49:00Z,1
2017-04-21T01:14:00Z,1
2017-04-21T01:29:00Z,1
2017-04-21T15:25:00Z,1
2017-04-21T15:26:00Z,1
2017-04-21T15:45:00Z,2
2017-04-21T15:49:00Z,1
2017-04-21T18:58:00Z,2
2017-04-21T19:10:00Z,1
2017-04-21T20:59:00Z,1
2017-04-21T21:00:00Z,1
2017-04-21T21:02:00Z,1
2017-04-21T21:04:00Z,1
2017-04-21T21:05:00Z,1
2017-04-21T21:06:00Z,1
2017-04-21T21:13:00Z,1
2017-04-21T21:24:00Z,2
2017-04-22T00:58:00Z,1
2017-04-22T00:59:00Z,1
2017-04-22T01:01:00Z,1
2017-04-22T01:02:00Z,1
2017-04-22T01:04:00Z,1
2017-04-22T01:05:00Z,1
2017-04-22T01:06:00Z,1
2017-04-22T01:08:00Z,1
2017-04-22T14:15:00Z,1
2017-04-22T15:08:00Z,1
2017-04-22T15:09:00Z,1
2017-04-22T15:11:00Z,1
2017-04-22T15:14:00Z,1
2017-04-22T15:25:00Z,1
2017-04-22T16:51:00Z,2
2017-04-22T23:00:00Z,1
2017-04-23T01:00:00Z,1
2017-04-23T01:36:00Z,1
2017-04-23T12:38:00Z,1
2017-04-23T12:50:00Z,1
2017-04-23T15:18:00Z,1
2017-04-23T18:00:00Z,1
2017-04-23T18:44:00Z,2
2017-04-23T21:23:00Z,1
2017-04-23T21:49:00Z,1
2017-04-24T00:21:00Z,1
2017-04-24T00:24:00Z,1
2017-04-24T01:16:00Z,1
2017-04-24T01:34:00Z,1
2017-04-24T01:35:00Z,1
2017-04-24T03:30:00Z,1
2017-04-24T05:57:00Z,1
2017-04-24T16:00:00Z,1
2017-04-24T17:23:00Z,2
2017-04-24T17:50:00Z,1
2017-04-24T19:56:00Z,1
2017-04-24T20:33:00Z,1
2017-04-24T21:36:00Z,1
2017-04-24T23:48:00Z,1
2017-04-25T00:06:00Z,2
2017-04-25T00:14:00Z,1
2017-04-25T02:51:00Z,1
2017-04-25T02:53:00Z,1
2017-04-25T03:29:00Z,2
2017-04-25T03:35:00Z,1
2017-04-25T15:12:00Z,1
2017-04-25T19:31:00Z,1
2017-04-26T02:00:00Z,1
2017-04-26T17:38:00Z,1
2017-04-26T17:40:00Z,1
2017-04-26T18:18:00Z,1
2017-04-26T18:19:00Z,1
2017-04-26T19:53:00Z,1
2017-04-26T20:27:00Z,1
2017-04-26T20:50:00Z,1
2017-04-26T21:10:00Z,1
2017-04-26T21:11:00Z,1
2017-04-27T12:54:00Z,1
2017-04-27T13:49:00Z,1
2017-04-27T15:29:00Z,3
2017-04-27T16:38:00Z,1
2017-04-27T18:51:00Z,1
2017-04-27T18:53:00Z,1
2017-04-27T19:05:00Z,3
2017-04-27T19:06:00Z,1
2017-04-27T19:07:00Z,1
2017-04-27T19:54:00Z,1
2017-04-27T19:56:00Z,1
2017-04-27T20:55:00Z,1
2017-04-27T21:01:00Z,1
2017-04-27T21:03:00Z,1
2017-04-28T00:09:00Z,2
2017-04-28T00:20:00Z,2
2017-04-28T00:21:00Z,3
2017-04-28T00:22:00Z,1
2017-04-28T00:26:00Z,1
2017-04-28T13:40:00Z,1
2017-04-28T13:47:00Z,1
2017-04-28T13:48:00Z,3
2017-04-28T13:49:00Z,3
2017-04-28T13:50:00Z,3
2017-04-28T13:55:00Z,1
2017-04-28T13:56:00Z,1
2017-04-28T14:03:00Z,1
2017-04-28T14:04:00Z,1
2017-04-28T14:05:00Z,1
2017-04-28T15:09:00Z,1
2017-04-28T15:10:00Z,1
2017-04-28T15:43:00Z,1
