timestamp,lap time,stroke count,stroke type
2020-12-01T01:35:05Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T02:40:18Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T02:48:27Z,00:00:28.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T02:49:09Z,00:00:51.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T04:04:59Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:18:12Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:22:30Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:25:16Z,00:00:26.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:33:16Z,00:00:49.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:34:59Z,00:00:26.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:35:31Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:36:48Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:38:31Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:39:44Z,00:00:28.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:41:19Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:42:05Z,00:00:40.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:42:59Z,00:00:39.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T13:43:57Z,00:00:56.000,23,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:09:17Z,00:00:18.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:09:48Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:11:22Z,00:00:47.000,20,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:12:15Z,00:00:21.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:13:13Z,00:00:14.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:13:32Z,00:00:19.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:27:58Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:28:10Z,00:00:18.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:28:36Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:29:28Z,00:00:31.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T14:58:45Z,00:00:26.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T15:00:13Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-12-01T15:01:04Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
