timestamp,beats per minute
2024-09-27T00:00:01Z,80.0
2024-09-27T00:00:04Z,80.0
2024-09-27T00:00:05Z,79.0
2024-09-27T00:00:07Z,78.0
2024-09-27T00:00:09Z,77.0
2024-09-27T00:00:10Z,76.0
2024-09-27T00:00:12Z,77.0
2024-09-27T00:00:14Z,78.0
2024-09-27T00:00:16Z,77.0
2024-09-27T00:00:18Z,78.0
2024-09-27T00:00:20Z,79.0
2024-09-27T00:00:22Z,76.0
2024-09-27T00:00:25Z,76.0
2024-09-27T00:00:28Z,72.0
2024-09-27T00:00:31Z,72.0
2024-09-27T00:00:32Z,76.0
2024-09-27T00:00:34Z,73.0
2024-09-27T00:00:35Z,76.0
2024-09-27T00:00:37Z,77.0
2024-09-27T00:00:39Z,75.0
2024-09-27T00:00:41Z,74.0
2024-09-27T00:00:43Z,76.0
2024-09-27T00:00:45Z,77.0
2024-09-27T00:00:47Z,79.0
2024-09-27T00:00:49Z,81.0
2024-09-27T00:00:51Z,80.0
2024-09-27T00:00:53Z,81.0
2024-09-27T00:00:56Z,81.0
2024-09-27T00:00:59Z,81.0
2024-09-27T00:01:00Z,80.0
2024-09-27T00:01:02Z,78.0
2024-09-27T00:01:04Z,79.0
2024-09-27T00:01:06Z,80.0
2024-09-27T00:01:08Z,79.0
2024-09-27T00:01:11Z,79.0
2024-09-27T00:01:14Z,77.0
2024-09-27T00:01:16Z,76.0
2024-09-27T00:01:18Z,75.0
2024-09-27T00:01:21Z,75.0
2024-09-27T00:01:22Z,74.0
2024-09-27T00:01:23Z,75.0
2024-09-27T00:01:25Z,76.0
2024-09-27T00:01:27Z,75.0
2024-09-27T00:01:30Z,75.0
2024-09-27T00:01:33Z,74.0
2024-09-27T00:01:36Z,74.0
2024-09-27T00:01:37Z,73.0
2024-09-27T00:01:39Z,74.0
2024-09-27T00:01:42Z,74.0
2024-09-27T00:01:43Z,73.0
2024-09-27T00:01:45Z,75.0
2024-09-27T00:01:48Z,75.0
2024-09-27T00:01:50Z,76.0
2024-09-27T00:01:53Z,76.0
2024-09-27T00:01:56Z,76.0
2024-09-27T00:01:58Z,77.0
2024-09-27T00:02:01Z,77.0
2024-09-27T00:02:04Z,76.0
2024-09-27T00:02:06Z,75.0
2024-09-27T00:02:09Z,75.0
2024-09-27T00:02:10Z,76.0
2024-09-27T00:02:13Z,75.0
2024-09-27T00:02:15Z,76.0
2024-09-27T00:02:17Z,75.0
2024-09-27T00:02:19Z,76.0
2024-09-27T00:02:22Z,76.0
2024-09-27T00:02:23Z,77.0
2024-09-27T00:02:26Z,77.0
2024-09-27T00:02:29Z,76.0
2024-09-27T00:02:32Z,76.0
2024-09-27T00:02:33Z,77.0
2024-09-27T00:02:34Z,76.0
2024-09-27T00:02:37Z,76.0
2024-09-27T00:02:40Z,77.0
2024-09-27T00:02:42Z,78.0
2024-09-27T00:02:44Z,81.0
2024-09-27T00:02:47Z,81.0
2024-09-27T00:02:48Z,80.0
2024-09-27T00:02:50Z,81.0
2024-09-27T00:02:53Z,81.0
2024-09-27T00:02:54Z,82.0
2024-09-27T00:02:57Z,82.0
2024-09-27T00:02:59Z,83.0
2024-09-27T00:03:02Z,83.0
2024-09-27T00:03:03Z,82.0
2024-09-27T00:03:05Z,81.0
2024-09-27T00:03:07Z,80.0
2024-09-27T00:03:10Z,80.0
2024-09-27T00:03:13Z,79.0
2024-09-27T00:03:15Z,78.0
2024-09-27T00:03:17Z,79.0
2024-09-27T00:03:20Z,79.0
2024-09-27T00:03:21Z,78.0
2024-09-27T00:03:24Z,78.0
2024-09-27T00:03:27Z,78.0
2024-09-27T00:03:30Z,79.0
2024-09-27T00:03:33Z,79.0
2024-09-27T00:03:34Z,80.0
