timestamp,lap time,stroke count,stroke type
2024-06-01T00:07:27Z,00:00:28.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:08:06Z,00:00:19.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:09:12Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:10:20Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:11:39Z,00:00:27.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:13:12Z,00:00:27.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:15:09Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:16:03Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:24:49Z,00:00:31.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:26:23Z,00:00:16.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:32:51Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:36:45Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:37:24Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:38:18Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T00:51:02Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T03:09:22Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T09:54:26Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:01:22Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:05:01Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:05:40Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:11:36Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:12:07Z,00:00:39.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:12:57Z,00:00:21.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:13:27Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T10:17:43Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T18:10:27Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T18:11:04Z,00:00:23.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T18:36:47Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T21:08:26Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T21:16:57Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T21:18:02Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T21:20:27Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T21:29:19Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T23:20:36Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T23:21:52Z,00:00:26.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T23:22:28Z,00:00:31.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T23:26:20Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T23:26:45Z,00:00:31.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-01T23:30:59Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T00:32:23Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T00:56:55Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T00:58:23Z,00:00:26.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T01:01:51Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T01:07:20Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T01:21:52Z,00:00:29.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T01:26:05Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T01:48:38Z,00:00:35.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T02:38:53Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T04:18:43Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T15:24:45Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T15:25:10Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T15:26:25Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T15:28:35Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T17:53:25Z,00:00:33.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T18:00:55Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T19:46:13Z,00:00:19.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T19:57:00Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T19:59:39Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T20:03:58Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-06-02T20:04:17Z,00:00:10.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
