timestamp,gain
2017-05-22T13:05:00Z,3048
2017-05-22T13:15:00Z,3048
2017-05-22T15:01:00Z,3048
2017-05-23T05:13:00Z,3048
2017-05-23T05:14:00Z,3048
2017-05-23T05:55:00Z,3048
2017-05-23T07:05:00Z,3048
2017-05-23T10:18:00Z,3048
2017-05-23T13:24:00Z,3048
2017-05-23T13:53:00Z,3048
2017-05-23T15:08:00Z,3048
2017-05-23T17:24:00Z,3048
2017-05-24T04:23:00Z,3048
2017-05-24T07:46:00Z,3048
2017-05-24T08:15:00Z,3048
2017-05-24T09:43:00Z,3048
2017-05-24T14:42:00Z,3048
2017-05-24T14:47:00Z,3048
2017-05-24T16:43:00Z,3048
2017-05-24T16:54:00Z,3048
2017-05-24T17:12:00Z,3048
2017-05-24T17:16:00Z,3048
2017-05-25T04:08:00Z,3048
2017-05-25T04:10:00Z,3048
2017-05-25T04:23:00Z,3048
2017-05-25T04:25:00Z,3048
2017-05-25T07:36:00Z,3048
2017-05-25T08:26:00Z,3048
2017-05-25T11:00:00Z,9144
2017-05-25T12:11:00Z,3048
2017-05-25T12:52:00Z,3048
2017-05-25T13:19:00Z,3048
2017-05-25T23:37:00Z,3048
2017-05-26T05:25:00Z,3048
2017-05-26T07:17:00Z,6096
2017-05-26T08:51:00Z,3048
2017-05-26T10:34:00Z,3048
2017-05-26T11:45:00Z,3048
2017-05-26T11:47:00Z,3048
2017-05-26T13:52:00Z,3048
2017-05-26T13:58:00Z,3048
2017-05-26T14:32:00Z,6096
2017-05-26T15:22:00Z,3048
2017-05-26T16:38:00Z,3048
2017-05-26T16:40:00Z,3048
2017-05-27T06:06:00Z,3048
2017-05-27T06:07:00Z,3048
2017-05-27T07:12:00Z,6096
2017-05-27T08:45:00Z,3048
2017-05-27T12:19:00Z,3048
2017-05-27T12:36:00Z,6096
2017-05-27T13:33:00Z,3048
2017-05-27T15:17:00Z,3048
2017-05-28T05:52:00Z,3048
2017-05-28T05:53:00Z,3048
2017-05-28T10:15:00Z,3048
2017-05-28T10:42:00Z,3048
2017-05-28T14:06:00Z,3048
2017-05-28T14:07:00Z,3048
2017-05-29T05:21:00Z,3048
2017-05-29T05:22:00Z,3048
2017-05-29T06:44:00Z,6096
2017-05-29T08:27:00Z,3048
2017-05-29T09:29:00Z,6096
2017-05-29T09:48:00Z,3048
2017-05-29T09:49:00Z,3048
2017-05-29T10:36:00Z,3048
2017-05-30T05:22:00Z,6096
2017-05-30T06:45:00Z,3048
2017-05-30T08:24:00Z,3048
2017-05-30T09:13:00Z,6096
2017-05-30T15:06:00Z,3048
2017-05-30T15:07:00Z,3048
2017-05-30T18:27:00Z,3048
2017-05-30T18:28:00Z,3048
2017-05-31T08:00:00Z,3048
2017-05-31T09:26:00Z,3048
2017-05-31T12:04:00Z,3048
2017-05-31T15:14:00Z,3048
2017-05-31T15:15:00Z,3048
