timestamp,beats per minute
2024-08-14T00:00:01Z,69.0
2024-08-14T00:00:06Z,71.0
2024-08-14T00:00:16Z,70.0
2024-08-14T00:00:31Z,70.0
2024-08-14T00:00:41Z,69.0
2024-08-14T00:00:56Z,69.0
2024-08-14T00:01:06Z,70.0
2024-08-14T00:01:21Z,71.0
2024-08-14T00:01:31Z,72.0
2024-08-14T00:01:36Z,73.0
2024-08-14T00:01:41Z,74.0
2024-08-14T00:01:56Z,74.0
2024-08-14T00:02:11Z,75.0
2024-08-14T00:02:16Z,72.0
2024-08-14T00:02:21Z,69.0
2024-08-14T00:02:26Z,69.0
2024-08-14T00:02:31Z,70.0
2024-08-14T00:02:41Z,71.0
2024-08-14T00:02:46Z,72.0
2024-08-14T00:02:51Z,73.0
2024-08-14T00:02:56Z,73.0
2024-08-14T00:03:01Z,73.0
2024-08-14T00:03:06Z,73.0
2024-08-14T00:03:11Z,73.0
2024-08-14T00:03:26Z,74.0
2024-08-14T00:03:31Z,74.0
2024-08-14T00:03:46Z,75.0
2024-08-14T00:03:56Z,76.0
2024-08-14T00:04:11Z,76.0
2024-08-14T00:04:21Z,76.0
2024-08-14T00:04:26Z,77.0
2024-08-14T00:04:31Z,76.0
2024-08-14T00:04:41Z,77.0
2024-08-14T00:04:46Z,77.0
2024-08-14T00:04:51Z,76.0
2024-08-14T00:04:56Z,75.0
2024-08-14T00:05:06Z,74.0
2024-08-14T00:05:11Z,73.0
2024-08-14T00:05:16Z,72.0
2024-08-14T00:05:23Z,71.0
2024-08-14T00:05:28Z,69.0
2024-08-14T00:05:33Z,70.0
2024-08-14T00:05:38Z,71.0
2024-08-14T00:05:48Z,72.0
2024-08-14T00:06:03Z,72.0
2024-08-14T00:06:13Z,73.0
2024-08-14T00:06:18Z,74.0
2024-08-14T00:06:28Z,72.0
2024-08-14T00:06:33Z,62.0
2024-08-14T00:06:38Z,67.0
2024-08-14T00:06:43Z,68.0
2024-08-14T00:06:58Z,71.0
2024-08-14T00:07:03Z,72.0
2024-08-14T00:07:08Z,71.0
2024-08-14T00:07:23Z,72.0
2024-08-14T00:07:28Z,73.0
2024-08-14T00:07:38Z,74.0
2024-08-14T00:07:43Z,75.0
2024-08-14T00:07:48Z,76.0
2024-08-14T00:08:03Z,76.0
2024-08-14T00:08:18Z,76.0
2024-08-14T00:08:33Z,75.0
2024-08-14T00:08:38Z,70.0
2024-08-14T00:08:43Z,71.0
2024-08-14T00:08:48Z,74.0
2024-08-14T00:08:53Z,74.0
2024-08-14T00:08:58Z,75.0
2024-08-14T00:09:08Z,76.0
2024-08-14T00:09:18Z,75.0
2024-08-14T00:09:23Z,75.0
2024-08-14T00:09:28Z,74.0
2024-08-14T00:09:43Z,75.0
2024-08-14T00:09:48Z,76.0
2024-08-14T00:09:58Z,74.0
2024-08-14T00:10:03Z,73.0
2024-08-14T00:10:08Z,73.0
2024-08-14T00:10:23Z,74.0
2024-08-14T00:10:38Z,74.0
2024-08-14T00:10:53Z,74.0
2024-08-14T00:11:03Z,73.0
2024-08-14T00:11:18Z,73.0
2024-08-14T00:11:23Z,74.0
2024-08-14T00:11:28Z,76.0
2024-08-14T00:11:43Z,76.0
2024-08-14T00:11:48Z,75.0
2024-08-14T00:11:53Z,76.0
2024-08-14T00:12:03Z,75.0
2024-08-14T00:12:13Z,74.0
2024-08-14T00:12:18Z,73.0
2024-08-14T00:12:28Z,74.0
2024-08-14T00:12:33Z,74.0
2024-08-14T00:12:38Z,73.0
2024-08-14T00:12:43Z,73.0
2024-08-14T00:12:53Z,74.0
2024-08-14T00:13:03Z,75.0
2024-08-14T00:13:08Z,76.0
2024-08-14T00:13:13Z,75.0
2024-08-14T00:13:18Z,74.0
2024-08-14T00:13:23Z,72.0
2024-08-14T00:13:28Z,71.0
2024-08-14T00:13:33Z,72.0
2024-08-14T00:13:48Z,73.0
2024-08-14T00:14:03Z,73.0
2024-08-14T00:14:18Z,73.0
2024-08-14T00:14:28Z,72.0
2024-08-14T00:14:38Z,71.0
2024-08-14T00:14:43Z,72.0
2024-08-14T00:14:48Z,75.0
2024-08-14T00:14:53Z,75.0
2024-08-14T00:14:58Z,73.0
2024-08-14T00:15:03Z,72.0
2024-08-14T00:15:18Z,72.0
2024-08-14T00:15:33Z,72.0
2024-08-14T00:15:48Z,73.0
2024-08-14T00:15:58Z,73.0
2024-08-14T00:16:03Z,72.0
