timestamp,beats per minute
2019-12-17T00:00:02Z,71.0
2019-12-17T00:00:07Z,70.0
2019-12-17T00:00:12Z,70.0
2019-12-17T00:00:17Z,69.0
2019-12-17T00:00:22Z,66.0
2019-12-17T00:00:27Z,65.0
2019-12-17T00:00:32Z,66.0
2019-12-17T00:00:37Z,68.0
2019-12-17T00:00:42Z,69.0
2019-12-17T00:00:47Z,68.0
2019-12-17T00:00:57Z,67.0
2019-12-17T00:01:02Z,66.0
2019-12-17T00:01:07Z,65.0
2019-12-17T00:01:12Z,64.0
2019-12-17T00:01:17Z,65.0
2019-12-17T00:01:22Z,66.0
2019-12-17T00:01:37Z,66.0
2019-12-17T00:01:52Z,66.0
2019-12-17T00:02:02Z,65.0
2019-12-17T00:02:12Z,65.0
2019-12-17T00:02:17Z,66.0
2019-12-17T00:02:22Z,68.0
2019-12-17T00:02:27Z,69.0
2019-12-17T00:02:32Z,69.0
2019-12-17T00:02:37Z,71.0
2019-12-17T00:02:42Z,73.0
2019-12-17T00:02:47Z,75.0
2019-12-17T00:02:52Z,73.0
2019-12-17T00:03:02Z,73.0
2019-12-17T00:03:17Z,73.0
2019-12-17T00:03:27Z,74.0
2019-12-17T00:03:37Z,75.0
2019-12-17T00:03:42Z,74.0
2019-12-17T00:03:52Z,73.0
2019-12-17T00:04:07Z,72.0
2019-12-17T00:04:22Z,72.0
2019-12-17T00:04:27Z,71.0
2019-12-17T00:04:32Z,70.0
2019-12-17T00:04:47Z,70.0
2019-12-17T00:04:52Z,69.0
2019-12-17T00:05:07Z,69.0
2019-12-17T00:05:17Z,68.0
2019-12-17T00:05:22Z,68.0
2019-12-17T00:05:37Z,68.0
2019-12-17T00:05:42Z,69.0
2019-12-17T00:05:57Z,68.0
2019-12-17T00:06:07Z,67.0
2019-12-17T00:06:12Z,67.0
2019-12-17T00:06:17Z,68.0
2019-12-17T00:06:22Z,69.0
2019-12-17T00:06:27Z,69.0
2019-12-17T00:06:32Z,68.0
2019-12-17T00:06:37Z,67.0
2019-12-17T00:06:47Z,68.0
2019-12-17T00:06:52Z,67.0
2019-12-17T00:06:57Z,68.0
2019-12-17T00:07:02Z,68.0
2019-12-17T00:07:17Z,68.0
2019-12-17T00:07:27Z,69.0
2019-12-17T00:07:32Z,67.0
2019-12-17T00:07:42Z,66.0
2019-12-17T00:07:47Z,65.0
2019-12-17T00:07:52Z,64.0
2019-12-17T00:08:02Z,63.0
2019-12-17T00:08:07Z,66.0
2019-12-17T00:08:12Z,70.0
2019-12-17T00:08:17Z,71.0
2019-12-17T00:08:32Z,71.0
2019-12-17T00:08:47Z,71.0
2019-12-17T00:09:02Z,71.0
2019-12-17T00:09:07Z,70.0
2019-12-17T00:09:17Z,71.0
2019-12-17T00:09:22Z,72.0
2019-12-17T00:09:32Z,71.0
2019-12-17T00:09:37Z,70.0
2019-12-17T00:09:52Z,69.0
2019-12-17T00:09:57Z,69.0
2019-12-17T00:10:02Z,68.0
2019-12-17T00:10:12Z,67.0
2019-12-17T00:10:17Z,66.0
2019-12-17T00:10:22Z,65.0
2019-12-17T00:10:27Z,63.0
2019-12-17T00:10:32Z,62.0
2019-12-17T00:10:37Z,63.0
2019-12-17T00:10:47Z,65.0
2019-12-17T00:10:52Z,66.0
2019-12-17T00:10:57Z,67.0
2019-12-17T00:11:12Z,67.0
2019-12-17T00:11:17Z,68.0
2019-12-17T00:11:22Z,68.0
2019-12-17T00:11:32Z,67.0
2019-12-17T00:11:47Z,67.0
2019-12-17T00:11:52Z,68.0
2019-12-17T00:11:57Z,69.0
2019-12-17T00:12:02Z,70.0
2019-12-17T00:12:07Z,69.0
2019-12-17T00:12:12Z,68.0
2019-12-17T00:12:17Z,67.0
2019-12-17T00:12:22Z,68.0
2019-12-17T00:12:37Z,68.0
2019-12-17T00:12:42Z,67.0
2019-12-17T00:12:47Z,66.0
2019-12-17T00:12:52Z,67.0
2019-12-17T00:12:57Z,66.0
2019-12-17T00:13:02Z,66.0
2019-12-17T00:13:07Z,68.0
2019-12-17T00:13:12Z,71.0
2019-12-17T00:13:27Z,71.0
2019-12-17T00:13:37Z,68.0
2019-12-17T00:13:42Z,67.0
2019-12-17T00:13:57Z,67.0
2019-12-17T00:14:07Z,69.0
2019-12-17T00:14:12Z,71.0
2019-12-17T00:14:17Z,70.0
2019-12-17T00:14:27Z,69.0
2019-12-17T00:14:37Z,67.0
2019-12-17T00:14:42Z,64.0
2019-12-17T00:14:57Z,64.0
2019-12-17T00:15:02Z,65.0
2019-12-17T00:15:07Z,64.0
2019-12-17T00:15:22Z,64.0
2019-12-17T00:15:37Z,65.0
2019-12-17T00:16:18Z,67.0
2019-12-17T00:16:23Z,66.0
2019-12-17T00:16:33Z,65.0
2019-12-17T00:16:38Z,64.0
2019-12-17T00:16:43Z,64.0
2019-12-17T00:16:48Z,66.0
2019-12-17T00:16:53Z,67.0
2019-12-17T00:17:08Z,68.0
2019-12-17T00:17:13Z,66.0
2019-12-17T00:17:18Z,65.0
2019-12-17T00:17:33Z,64.0
2019-12-17T00:17:38Z,65.0
2019-12-17T00:17:48Z,66.0
2019-12-17T00:17:58Z,65.0
2019-12-17T00:18:03Z,63.0
2019-12-17T00:18:13Z,62.0
2019-12-17T00:18:23Z,63.0
2019-12-17T00:18:33Z,64.0
2019-12-17T00:18:38Z,66.0
2019-12-17T00:18:53Z,66.0
2019-12-17T00:19:03Z,65.0
2019-12-17T00:19:08Z,64.0
2019-12-17T00:19:13Z,65.0
2019-12-17T00:19:18Z,64.0
2019-12-17T00:19:23Z,63.0
2019-12-17T00:19:33Z,62.0
2019-12-17T00:19:48Z,62.0
2019-12-17T00:19:53Z,61.0
2019-12-17T00:20:08Z,62.0
2019-12-17T00:20:23Z,64.0
2019-12-17T00:20:28Z,65.0
2019-12-17T00:20:38Z,66.0
2019-12-17T00:20:48Z,65.0
2019-12-17T00:21:03Z,66.0
2019-12-17T00:21:08Z,67.0
2019-12-17T00:21:23Z,67.0
2019-12-17T00:21:28Z,66.0
2019-12-17T00:21:38Z,65.0
2019-12-17T00:21:48Z,64.0
2019-12-17T00:21:58Z,67.0
2019-12-17T00:22:03Z,70.0
2019-12-17T00:22:08Z,71.0
2019-12-17T00:22:13Z,70.0
2019-12-17T00:22:18Z,69.0
2019-12-17T00:22:23Z,69.0
2019-12-17T00:22:28Z,70.0
2019-12-17T00:22:43Z,70.0
2019-12-17T00:22:48Z,72.0
2019-12-17T00:22:53Z,74.0
2019-12-17T00:22:58Z,75.0
2019-12-17T00:23:03Z,74.0
2019-12-17T00:23:13Z,74.0
2019-12-17T00:23:18Z,73.0
2019-12-17T00:23:23Z,72.0
2019-12-17T00:23:28Z,73.0
2019-12-17T00:23:43Z,73.0
2019-12-17T00:23:48Z,72.0
2019-12-17T00:23:53Z,71.0
2019-12-17T00:24:03Z,71.0
2019-12-17T00:24:08Z,72.0
2019-12-17T00:24:18Z,70.0
2019-12-17T00:24:23Z,68.0
2019-12-17T00:24:28Z,68.0
2019-12-17T00:24:43Z,68.0
2019-12-17T00:24:58Z,68.0
2019-12-17T00:25:08Z,69.0
2019-12-17T00:25:23Z,69.0
2019-12-17T00:25:28Z,68.0
2019-12-17T00:25:43Z,68.0
2019-12-17T00:25:53Z,69.0
2019-12-17T00:26:03Z,68.0
2019-12-17T00:26:18Z,68.0
2019-12-17T00:26:23Z,66.0
2019-12-17T00:26:33Z,66.0
2019-12-17T00:26:38Z,67.0
2019-12-17T00:26:43Z,66.0
2019-12-17T00:26:53Z,67.0
2019-12-17T00:26:58Z,70.0
2019-12-17T00:27:08Z,70.0
2019-12-17T00:27:18Z,71.0
2019-12-17T00:27:28Z,72.0
2019-12-17T00:27:33Z,73.0
