timestamp,beats per minute
2020-06-23T00:00:01Z,75.0
2020-06-23T00:00:16Z,75.0
2020-06-23T00:00:21Z,77.0
2020-06-23T00:00:36Z,77.0
2020-06-23T00:00:46Z,78.0
2020-06-23T00:00:51Z,79.0
2020-06-23T00:00:56Z,80.0
2020-06-23T00:01:01Z,79.0
2020-06-23T00:01:07Z,78.0
2020-06-23T00:01:12Z,79.0
2020-06-23T00:01:17Z,78.0
2020-06-23T00:01:22Z,77.0
2020-06-23T00:01:27Z,74.0
2020-06-23T00:01:32Z,73.0
2020-06-23T00:01:42Z,74.0
2020-06-23T00:01:52Z,72.0
2020-06-23T00:01:57Z,71.0
2020-06-23T00:02:02Z,70.0
2020-06-23T00:02:07Z,69.0
2020-06-23T00:02:12Z,68.0
2020-06-23T00:02:17Z,69.0
2020-06-23T00:02:27Z,68.0
2020-06-23T00:02:32Z,66.0
2020-06-23T00:02:47Z,69.0
2020-06-23T00:02:52Z,72.0
2020-06-23T00:03:07Z,71.0
2020-06-23T00:03:12Z,69.0
2020-06-23T00:03:22Z,68.0
2020-06-23T00:03:27Z,67.0
2020-06-23T00:03:42Z,67.0
2020-06-23T00:03:47Z,68.0
2020-06-23T00:03:52Z,66.0
2020-06-23T00:04:07Z,67.0
2020-06-23T00:04:12Z,66.0
2020-06-23T00:04:27Z,67.0
2020-06-23T00:04:32Z,70.0
2020-06-23T00:04:37Z,67.0
2020-06-23T00:04:42Z,65.0
2020-06-23T00:04:47Z,67.0
2020-06-23T00:04:52Z,68.0
2020-06-23T00:05:07Z,68.0
2020-06-23T00:05:12Z,69.0
2020-06-23T00:05:22Z,70.0
2020-06-23T00:05:27Z,72.0
2020-06-23T00:05:32Z,73.0
2020-06-23T00:05:37Z,74.0
2020-06-23T00:05:42Z,73.0
2020-06-23T00:05:52Z,75.0
2020-06-23T00:06:07Z,75.0
2020-06-23T00:06:12Z,76.0
2020-06-23T00:06:17Z,77.0
2020-06-23T00:06:22Z,78.0
2020-06-23T00:06:32Z,77.0
2020-06-23T00:06:37Z,76.0
2020-06-23T00:06:42Z,71.0
2020-06-23T00:06:47Z,68.0
2020-06-23T00:06:52Z,69.0
2020-06-23T00:07:07Z,69.0
2020-06-23T00:07:22Z,68.0
2020-06-23T00:07:27Z,69.0
2020-06-23T00:07:32Z,69.0
2020-06-23T00:07:38Z,68.0
2020-06-23T00:07:48Z,69.0
2020-06-23T00:08:03Z,69.0
2020-06-23T00:08:08Z,66.0
2020-06-23T00:08:13Z,66.0
2020-06-23T00:08:18Z,65.0
2020-06-23T00:08:23Z,64.0
2020-06-23T00:08:28Z,63.0
2020-06-23T00:08:33Z,63.0
2020-06-23T00:08:43Z,65.0
2020-06-23T00:08:48Z,68.0
2020-06-23T00:08:53Z,66.0
2020-06-23T00:08:58Z,63.0
2020-06-23T00:09:03Z,64.0
2020-06-23T00:09:18Z,64.0
2020-06-23T00:09:33Z,64.0
2020-06-23T00:09:48Z,63.0
2020-06-23T00:09:53Z,64.0
2020-06-23T00:10:08Z,63.0
2020-06-23T00:10:23Z,63.0
2020-06-23T00:10:28Z,64.0
2020-06-23T00:10:33Z,65.0
2020-06-23T00:10:38Z,64.0
2020-06-23T00:10:43Z,63.0
2020-06-23T00:10:58Z,64.0
2020-06-23T00:11:08Z,66.0
2020-06-23T00:11:13Z,71.0
2020-06-23T00:11:18Z,72.0
2020-06-23T00:11:28Z,73.0
2020-06-23T00:11:33Z,73.0
2020-06-23T00:11:43Z,74.0
2020-06-23T00:11:48Z,72.0
2020-06-23T00:11:53Z,68.0
2020-06-23T00:11:58Z,67.0
2020-06-23T00:12:13Z,67.0
2020-06-23T00:12:23Z,66.0
2020-06-23T00:12:33Z,65.0
2020-06-23T00:12:38Z,62.0
2020-06-23T00:12:48Z,63.0
2020-06-23T00:12:53Z,65.0
2020-06-23T00:12:58Z,67.0
2020-06-23T00:13:08Z,65.0
2020-06-23T00:13:13Z,64.0
2020-06-23T00:13:18Z,63.0
2020-06-23T00:13:33Z,63.0
2020-06-23T00:13:38Z,65.0
2020-06-23T00:13:43Z,67.0
2020-06-23T00:13:53Z,69.0
2020-06-23T00:13:58Z,71.0
2020-06-23T00:14:03Z,73.0
2020-06-23T00:14:13Z,67.0
2020-06-23T00:14:18Z,64.0
2020-06-23T00:14:23Z,62.0
2020-06-23T00:14:28Z,61.0
2020-06-23T00:14:33Z,61.0
2020-06-23T00:14:43Z,62.0
2020-06-23T00:14:48Z,62.0
2020-06-23T00:14:58Z,64.0
2020-06-23T00:15:03Z,64.0
2020-06-23T00:15:13Z,63.0
2020-06-23T00:15:18Z,64.0
2020-06-23T00:15:33Z,69.0
2020-06-23T00:15:38Z,75.0
2020-06-23T00:15:43Z,76.0
2020-06-23T00:15:48Z,70.0
2020-06-23T00:15:53Z,69.0
2020-06-23T00:16:08Z,69.0
2020-06-23T00:16:23Z,69.0
2020-06-23T00:16:28Z,73.0
2020-06-23T00:16:38Z,71.0
2020-06-23T00:16:53Z,71.0
2020-06-23T00:17:03Z,70.0
2020-06-23T00:17:18Z,69.0
2020-06-23T00:17:33Z,70.0
2020-06-23T00:17:38Z,70.0
2020-06-23T00:17:43Z,69.0
2020-06-23T00:17:48Z,67.0
2020-06-23T00:17:53Z,67.0
2020-06-23T00:17:58Z,65.0
2020-06-23T00:18:03Z,64.0
2020-06-23T00:18:08Z,66.0
2020-06-23T00:18:13Z,67.0
2020-06-23T00:18:28Z,67.0
2020-06-23T00:18:38Z,68.0
2020-06-23T00:18:53Z,68.0
2020-06-23T00:19:08Z,68.0
2020-06-23T00:19:23Z,68.0
2020-06-23T00:19:38Z,68.0
2020-06-23T00:19:53Z,67.0
2020-06-23T00:19:58Z,66.0
2020-06-23T00:20:13Z,67.0
2020-06-23T00:20:28Z,66.0
2020-06-23T00:20:43Z,66.0
2020-06-23T00:20:58Z,66.0
2020-06-23T00:21:08Z,62.0
2020-06-23T00:21:13Z,61.0
2020-06-23T00:21:18Z,60.0
2020-06-23T00:21:33Z,60.0
2020-06-23T00:21:48Z,60.0
2020-06-23T00:22:03Z,60.0
2020-06-23T00:22:13Z,64.0
2020-06-23T00:22:18Z,66.0
2020-06-23T00:22:33Z,66.0
2020-06-23T00:22:48Z,66.0
2020-06-23T00:23:03Z,66.0
2020-06-23T00:23:08Z,65.0
2020-06-23T00:23:23Z,66.0
2020-06-23T00:23:38Z,66.0
2020-06-23T00:23:43Z,66.0
2020-06-23T00:23:58Z,66.0
2020-06-23T00:24:08Z,60.0
2020-06-23T00:24:23Z,62.0
2020-06-23T00:24:28Z,69.0
2020-06-23T00:24:43Z,69.0
2020-06-23T00:24:48Z,71.0
2020-06-23T00:24:58Z,68.0
2020-06-23T00:25:03Z,67.0
2020-06-23T00:25:08Z,70.0
2020-06-23T00:25:13Z,70.0
2020-06-23T00:25:18Z,69.0
2020-06-23T00:25:23Z,69.0
2020-06-23T00:25:28Z,69.0
2020-06-23T00:25:33Z,67.0
2020-06-23T00:25:38Z,68.0
2020-06-23T00:25:43Z,69.0
2020-06-23T00:25:58Z,69.0
2020-06-23T00:26:08Z,68.0
2020-06-23T00:26:13Z,65.0
2020-06-23T00:26:18Z,65.0
2020-06-23T00:26:33Z,65.0
2020-06-23T00:26:38Z,66.0
2020-06-23T00:26:53Z,66.0
2020-06-23T00:26:58Z,67.0
2020-06-23T00:27:03Z,66.0
2020-06-23T00:27:08Z,64.0
2020-06-23T00:27:13Z,64.0
2020-06-23T00:27:18Z,65.0
2020-06-23T00:27:33Z,68.0
2020-06-23T00:27:38Z,70.0
2020-06-23T00:27:43Z,71.0
2020-06-23T00:27:58Z,71.0
2020-06-23T00:28:13Z,71.0
2020-06-23T00:28:18Z,68.0
2020-06-23T00:28:33Z,68.0
2020-06-23T00:28:48Z,68.0
2020-06-23T00:29:03Z,68.0
2020-06-23T00:29:18Z,68.0
2020-06-23T00:29:33Z,68.0
2020-06-23T00:29:48Z,67.0
2020-06-23T00:29:53Z,69.0
2020-06-23T00:30:08Z,69.0
2020-06-23T00:30:18Z,70.0
