timestamp,beats per minute
2019-08-24T00:00:07Z,96.0
2019-08-24T00:00:22Z,96.0
2019-08-24T00:00:27Z,95.0
2019-08-24T00:00:32Z,94.0
2019-08-24T00:00:37Z,96.0
2019-08-24T00:00:42Z,96.0
2019-08-24T00:00:57Z,96.0
2019-08-24T00:01:12Z,96.0
2019-08-24T00:01:17Z,97.0
2019-08-24T00:01:22Z,95.0
2019-08-24T00:01:27Z,87.0
2019-08-24T00:01:42Z,87.0
2019-08-24T00:01:47Z,88.0
2019-08-24T00:02:02Z,88.0
2019-08-24T00:02:07Z,87.0
2019-08-24T00:02:22Z,87.0
2019-08-24T00:02:32Z,86.0
2019-08-24T00:02:37Z,87.0
2019-08-24T00:02:52Z,89.0
2019-08-24T00:03:02Z,88.0
2019-08-24T00:03:07Z,86.0
2019-08-24T00:03:12Z,84.0
2019-08-24T00:03:17Z,82.0
2019-08-24T00:03:22Z,80.0
2019-08-24T00:03:27Z,82.0
2019-08-24T00:03:37Z,81.0
2019-08-24T00:03:42Z,83.0
2019-08-24T00:03:52Z,84.0
2019-08-24T00:03:57Z,83.0
2019-08-24T00:04:02Z,82.0
2019-08-24T00:04:07Z,81.0
2019-08-24T00:04:12Z,80.0
2019-08-24T00:04:17Z,78.0
2019-08-24T00:04:22Z,79.0
2019-08-24T00:04:27Z,78.0
2019-08-24T00:04:33Z,78.0
2019-08-24T00:04:43Z,77.0
2019-08-24T00:04:48Z,77.0
2019-08-24T00:05:03Z,76.0
2019-08-24T00:05:08Z,75.0
2019-08-24T00:05:18Z,75.0
2019-08-24T00:05:28Z,74.0
2019-08-24T00:05:33Z,71.0
2019-08-24T00:05:43Z,73.0
2019-08-24T00:05:58Z,74.0
2019-08-24T00:06:03Z,75.0
2019-08-24T00:06:13Z,77.0
2019-08-24T00:06:23Z,78.0
2019-08-24T00:06:28Z,77.0
2019-08-24T00:06:43Z,78.0
2019-08-24T00:06:48Z,80.0
2019-08-24T00:07:03Z,81.0
2019-08-24T00:07:08Z,82.0
2019-08-24T00:07:13Z,83.0
2019-08-24T00:07:28Z,84.0
2019-08-24T00:07:38Z,82.0
2019-08-24T00:07:43Z,83.0
2019-08-24T00:07:48Z,87.0
2019-08-24T00:07:53Z,88.0
2019-08-24T00:07:58Z,85.0
2019-08-24T00:08:03Z,83.0
2019-08-24T00:08:18Z,83.0
2019-08-24T00:08:23Z,83.0
2019-08-24T00:08:28Z,84.0
2019-08-24T00:08:33Z,85.0
2019-08-24T00:08:48Z,83.0
2019-08-24T00:09:03Z,85.0
2019-08-24T00:09:08Z,86.0
2019-08-24T00:09:13Z,87.0
2019-08-24T00:09:18Z,86.0
2019-08-24T00:09:23Z,85.0
2019-08-24T00:09:28Z,86.0
2019-08-24T00:09:38Z,85.0
2019-08-24T00:09:48Z,86.0
2019-08-24T00:09:58Z,87.0
2019-08-24T00:10:13Z,86.0
2019-08-24T00:10:18Z,83.0
2019-08-24T00:10:23Z,82.0
2019-08-24T00:10:28Z,83.0
2019-08-24T00:10:33Z,81.0
2019-08-24T00:10:43Z,83.0
2019-08-24T00:10:48Z,84.0
2019-08-24T00:10:53Z,86.0
2019-08-24T00:10:58Z,85.0
2019-08-24T00:11:03Z,84.0
2019-08-24T00:11:08Z,85.0
2019-08-24T00:11:23Z,86.0
2019-08-24T00:11:28Z,87.0
2019-08-24T00:11:33Z,91.0
2019-08-24T00:11:38Z,92.0
2019-08-24T00:11:43Z,91.0
2019-08-24T00:11:53Z,90.0
2019-08-24T00:12:03Z,88.0
2019-08-24T00:12:08Z,86.0
2019-08-24T00:12:13Z,85.0
2019-08-24T00:12:28Z,85.0
2019-08-24T00:12:33Z,86.0
2019-08-24T00:12:48Z,86.0
2019-08-24T00:12:58Z,87.0
2019-08-24T00:13:08Z,88.0
2019-08-24T00:13:13Z,89.0
2019-08-24T00:13:18Z,91.0
2019-08-24T00:13:23Z,92.0
2019-08-24T00:13:28Z,93.0
2019-08-24T00:13:33Z,89.0
2019-08-24T00:13:38Z,83.0
2019-08-24T00:13:43Z,84.0
2019-08-24T00:13:58Z,85.0
2019-08-24T00:14:03Z,84.0
2019-08-24T00:14:18Z,84.0
2019-08-24T00:14:23Z,85.0
2019-08-24T00:14:28Z,80.0
2019-08-24T00:14:33Z,77.0
2019-08-24T00:14:38Z,79.0
2019-08-24T00:14:43Z,81.0
2019-08-24T00:14:48Z,82.0
2019-08-24T00:14:53Z,82.0
2019-08-24T00:15:03Z,84.0
2019-08-24T00:15:08Z,85.0
2019-08-24T00:15:18Z,87.0
2019-08-24T00:15:23Z,88.0
2019-08-24T00:15:38Z,88.0
2019-08-24T00:15:48Z,86.0
2019-08-24T00:15:53Z,84.0
2019-08-24T00:15:58Z,85.0
2019-08-24T00:16:08Z,83.0
2019-08-24T00:16:18Z,82.0
2019-08-24T00:16:33Z,83.0
2019-08-24T00:16:38Z,85.0
2019-08-24T00:16:53Z,87.0
2019-08-24T00:16:58Z,87.0
2019-08-24T00:17:08Z,86.0
2019-08-24T00:17:13Z,84.0
2019-08-24T00:17:23Z,82.0
2019-08-24T00:17:28Z,82.0
2019-08-24T00:17:43Z,83.0
2019-08-24T00:17:48Z,94.0
2019-08-24T00:17:53Z,93.0
2019-08-24T00:18:08Z,91.0
2019-08-24T00:18:13Z,93.0
2019-08-24T00:18:28Z,93.0
2019-08-24T00:18:43Z,89.0
2019-08-24T00:18:58Z,90.0
2019-08-24T00:19:13Z,92.0
2019-08-24T00:19:18Z,93.0
2019-08-24T00:19:23Z,94.0
2019-08-24T00:19:28Z,97.0
2019-08-24T00:19:33Z,99.0
2019-08-24T00:19:38Z,97.0
2019-08-24T00:19:43Z,95.0
2019-08-24T00:19:58Z,94.0
2019-08-24T00:20:03Z,93.0
2019-08-24T00:20:08Z,94.0
2019-08-24T00:20:13Z,95.0
2019-08-24T00:20:28Z,95.0
2019-08-24T00:20:33Z,92.0
2019-08-24T00:20:38Z,90.0
2019-08-24T00:20:53Z,90.0
2019-08-24T00:21:08Z,91.0
2019-08-24T00:21:13Z,90.0
2019-08-24T00:21:23Z,90.0
2019-08-24T00:21:33Z,90.0
2019-08-24T00:21:38Z,89.0
2019-08-24T00:21:43Z,89.0
2019-08-24T00:21:58Z,89.0
2019-08-24T00:22:08Z,90.0
2019-08-24T00:22:13Z,91.0
2019-08-24T00:22:28Z,90.0
2019-08-24T00:22:33Z,90.0
2019-08-24T00:22:38Z,91.0
2019-08-24T00:22:48Z,90.0
2019-08-24T00:22:53Z,88.0
2019-08-24T00:23:03Z,89.0
2019-08-24T00:23:08Z,91.0
2019-08-24T00:23:13Z,89.0
2019-08-24T00:23:18Z,88.0
2019-08-24T00:23:33Z,89.0
2019-08-24T00:23:38Z,80.0
2019-08-24T00:23:43Z,77.0
2019-08-24T00:23:48Z,76.0
